Category,Item,Sanskrit,Hindi,English,Beej Detected,Status
Shloka,Nagendra Haraya — Shiva Panchakshara Stotra,Yes,Yes,Yes,Safe,Complete
Shloka,Om Purnamadah — Brihadaranyaka Shanti,Yes,Yes,Yes,Safe,Complete
Prayer,Hanuman Puja Sequence,No,No,No,⚠️ YES,Incomplete
Prayer,Ganesh Puja Sequence,No,No,No,Safe,Incomplete
Prayer,Lakshmi Puja Sequence,No,No,No,Safe,Incomplete
Prayer,Saraswati Puja Sequence,No,No,No,Safe,Incomplete
Prayer,Shiva Abhishek Sequence,No,No,No,Safe,Incomplete
Prayer,Durga Puja Sequence,No,No,No,⚠️ YES,Incomplete
Prayer,Vishnu Puja Sequence,No,No,No,Safe,Incomplete
Prayer,Krishna Puja / Janmashtami,No,No,No,⚠️ YES,Incomplete
Prayer,Surya Namaskar with Mantras,No,No,No,⚠️ YES,Incomplete
Prayer,Sandhya Vandanam (Simplified),No,No,No,Safe,Incomplete
Prayer,Navagraha Puja,No,No,No,⚠️ YES,Incomplete
Prayer,Satyanarayan Puja (Short Form),No,No,No,Safe,Incomplete
Prayer,Diwali Lakshmi-Ganesha Puja,No,No,No,⚠️ YES,Incomplete
Prayer,Navratri Evening Puja,No,No,No,Safe,Incomplete
Prayer,Morning Prayer Sequence,No,No,No,⚠️ YES,Incomplete
Upanishad,Isha Upanishad,No,No,No,⚠️ YES,Incomplete
Upanishad,Kena Upanishad,No,No,No,⚠️ YES,Incomplete
Upanishad,Mandukya Upanishad,No,No,No,⚠️ YES,Incomplete
Upanishad,Katha Upanishad,No,No,No,⚠️ YES,Incomplete
Upanishad,Mundaka Upanishad,No,No,No,⚠️ YES,Incomplete
Wisdom,Anxiety & Worry,No,No,No,Safe,Incomplete
Wisdom,Failure & Defeat,No,No,No,⚠️ YES,Incomplete
Wisdom,Death & Impermanence,No,No,No,⚠️ YES,Incomplete
Wisdom,Love & Devotion,No,No,No,⚠️ YES,Incomplete
Wisdom,Anger & Self-Control,No,No,No,⚠️ YES,Incomplete
Wisdom,Success & Achievement,No,No,No,⚠️ YES,Incomplete
Wisdom,Patience & Perseverance,No,No,No,Safe,Incomplete
Wisdom,Grief & Sorrow,No,No,No,⚠️ YES,Incomplete
Wisdom,Fear & Courage,No,No,No,⚠️ YES,Incomplete
Wisdom,Duty & Dharma,No,No,No,⚠️ YES,Incomplete
